date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:14	3947/3947	---MC-	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2021:45:13%20GMT	https://validacion.escalabs.com/index.php?idSolicitud=1520829&idPaciente=447792	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/index8a59.html	(from )
16:45:15	146/146	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Feb%202022%2021:45:14%20GMT	https://validacion.escalabs.com/robots.txt		(from )
16:45:16	19735/19735	---M--	200	added ('OK')	text/css	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	(from https://validacion.escalabs.com/index.php?idSolicitud=1520829&idPaciente=447792)
16:45:16	58578/58578	---M--	200	added ('OK')	text/css	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css	(from https://validacion.escalabs.com/index.php?idSolicitud=1520829&idPaciente=447792)
16:45:17	5232/5232	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Mar%202021%2003:49:20%20GMT	https://validacion.escalabs.com/assets/dist/css/dataTables.bootstrap4.min.css	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/dist/css/dataTables.bootstrap4.min.css	(from https://validacion.escalabs.com/index.php?idSolicitud=1520829&idPaciente=447792)
16:45:17	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Feb%202022%2021:45:17%20GMT	https://validacion.escalabs.com/assets/dist/css/toastr.min.css	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/dist/css/toastr.min.css	(from https://validacion.escalabs.com/index.php?idSolicitud=1520829&idPaciente=447792)
16:45:19	198134/198134	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Mar%202021%2003:49:12%20GMT	https://validacion.escalabs.com/assets/dist/css/bootstrap.css	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/dist/css/bootstrap.css	(from https://validacion.escalabs.com/index.php?idSolicitud=1520829&idPaciente=447792)
16:45:19	4520/4520	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Mar%202021%2003:46:38%20GMT	https://validacion.escalabs.com/assets/dist/js/dataTables.bootstrap4.min.js	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/dist/js/dataTables.bootstrap4.min.js	(from https://validacion.escalabs.com/index.php?idSolicitud=1520829&idPaciente=447792)
16:45:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Feb%202022%2021:45:19%20GMT	https://validacion.escalabs.com/assets/dist/js/toastr.min.js	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/dist/js/toastr.min.js	(from https://validacion.escalabs.com/index.php?idSolicitud=1520829&idPaciente=447792)
16:45:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Feb%202022%2021:45:19%20GMT	https://validacion.escalabs.com/assets/dist/js/moment.min.js	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/dist/js/moment.min.js	(from https://validacion.escalabs.com/index.php?idSolicitud=1520829&idPaciente=447792)
16:45:21	86554/86554	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Mar%202021%2003:46:22%20GMT	https://validacion.escalabs.com/assets/dist/js/jquery.dataTables.min.js	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/dist/js/jquery.dataTables.min.js	(from https://validacion.escalabs.com/index.php?idSolicitud=1520829&idPaciente=447792)
